Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-1_-17,01,"1,288.10","1,367.86",35.05,34.86,0.00,0.19,36.69,36.53,0.00,0.16,,
1-1_-17,02,"1,224.70","1,291.36",33.86,33.72,0.00,0.14,37.23,37.02,0.00,0.21,,
1-1_-17,03,"1,188.70","1,239.78",32.51,32.40,0.00,0.11,35.97,35.79,0.00,0.18,,
1-1_-17,04,"1,173.10","1,217.39",25.96,25.88,0.00,0.08,34.21,34.04,0.00,0.17,,
1-1_-17,05,"1,183.70","1,214.50",29.74,29.65,0.00,0.09,35.53,35.36,0.00,0.17,,
1-1_-17,06,"1,220.90","1,236.56",32.67,32.54,0.00,0.13,34.48,34.31,0.00,0.17,,
1-1_-17,07,"1,247.40","1,283.61",32.50,32.45,0.00,0.05,34.64,34.44,0.00,0.20,,
1-1_-17,08,"1,301.60","1,326.17",34.00,33.91,0.00,0.09,33.30,33.07,0.00,0.23,,
1-1_-17,09,"1,381.80","1,375.69",38.48,38.37,0.00,0.11,24.35,24.16,0.00,0.19,,
1-1_-17,10,"1,466.60","1,396.93",40.92,40.75,0.00,0.17,26.20,26.01,0.00,0.19,,
1-1_-17,11,"1,484.90","1,424.91",33.71,33.53,0.00,0.18,17.11,17.01,0.00,0.10,,
1-1_-17,12,"1,496.30","1,437.87",33.52,33.41,0.00,0.11,24.46,24.36,0.00,0.10,,
1-1_-17,13,"1,497.30","1,458.45",33.53,33.42,0.00,0.11,28.27,28.13,0.00,0.14,,
1-1_-17,14,"1,497.60","1,461.84",34.19,34.11,0.00,0.08,29.09,28.93,0.00,0.16,,
1-1_-17,15,"1,499.20","1,492.99",33.52,33.41,0.00,0.11,21.45,21.30,0.00,0.15,,
1-1_-17,16,"1,549.80","1,544.52",33.65,33.56,0.00,0.09,28.82,28.59,0.00,0.23,,
1-1_-17,17,"1,703.50","1,719.87",39.45,39.47,0.00,-0.02,33.05,32.80,0.00,0.25,,
1-1_-17,18,"1,830.10","1,866.04",63.27,63.38,0.00,-0.11,42.94,42.63,0.00,0.31,,
1-1_-17,19,"1,831.40","1,864.53",52.81,52.93,0.00,-0.12,45.11,44.83,0.00,0.28,,
1-1_-17,20,"1,792.40","1,821.07",49.74,49.88,0.00,-0.14,38.43,38.26,0.00,0.17,,
1-1_-17,21,"1,725.80","1,772.28",46.50,46.66,0.00,-0.16,37.12,36.93,0.00,0.19,,
1-1_-17,22,"1,623.10","1,681.62",45.77,45.87,0.00,-0.10,37.58,37.36,0.00,0.22,,
1-1_-17,23,"1,507.50","1,562.61",36.15,36.03,0.00,0.12,31.76,31.50,0.00,0.26,,
1-1_-17,24,"1,376.20","1,446.59",33.70,33.50,0.00,0.20,-70.14,-69.45,0.00,-0.69,,
2-1_-17,01,"1,329.60","1,357.61",33.89,33.73,0.00,0.16,19.43,19.28,0.00,0.15,,
2-1_-17,02,"1,268.20","1,307.23",33.81,33.71,0.00,0.10,34.22,34.02,0.00,0.20,,
2-1_-17,03,"1,238.70","1,286.95",33.02,32.92,0.00,0.10,29.87,29.72,0.00,0.15,,
2-1_-17,04,"1,231.60","1,290.22",32.84,32.76,0.00,0.08,28.19,28.04,0.00,0.15,,
2-1_-17,05,"1,252.80","1,319.44",32.81,32.74,0.00,0.07,31.23,31.06,0.00,0.17,,
2-1_-17,06,"1,318.10","1,381.58",33.73,33.61,0.00,0.12,34.77,34.57,0.00,0.20,,
2-1_-17,07,"1,391.80","1,464.96",33.74,33.65,0.00,0.09,38.69,38.45,0.00,0.24,,
2-1_-17,08,"1,479.80","1,525.64",34.90,34.90,0.00,0.00,36.98,36.80,0.00,0.18,,
2-1_-17,09,"1,567.20","1,592.78",42.47,42.60,0.00,-0.13,39.78,39.75,0.00,0.03,,
2-1_-17,10,"1,608.10","1,671.82",50.67,50.98,0.00,-0.31,52.89,53.05,0.00,-0.16,,
2-1_-17,11,"1,629.00","1,740.41",43.36,43.61,0.00,-0.25,51.12,51.31,0.00,-0.19,,
2-1_-17,12,"1,625.60","1,770.67",46.12,46.42,0.00,-0.30,46.33,46.50,0.00,-0.17,,
2-1_-17,13,"1,619.40","1,785.66",43.30,43.54,0.00,-0.24,46.78,46.94,0.00,-0.16,,
2-1_-17,14,"1,618.30","1,780.69",45.49,45.77,0.00,-0.28,50.88,51.08,0.00,-0.20,,
2-1_-17,15,"1,623.90","1,780.72",43.22,43.49,0.00,-0.27,40.27,40.39,0.00,-0.12,,
2-1_-17,16,"1,666.10","1,816.86",49.28,49.58,0.00,-0.30,43.84,43.98,0.00,-0.14,,
2-1_-17,17,"1,855.80","1,960.75",57.24,57.62,0.00,-0.38,52.26,52.37,0.00,-0.11,,
2-1_-17,18,"2,035.30","2,065.53",71.32,71.69,0.00,-0.37,74.47,74.55,0.00,-0.08,,
2-1_-17,19,"1,939.80","2,026.30",65.62,65.95,0.00,-0.33,59.54,59.57,0.00,-0.03,,
2-1_-17,20,"1,897.50","1,962.47",62.26,62.65,0.00,-0.39,58.56,58.68,0.00,-0.12,,
2-1_-17,21,"1,811.50","1,868.08",51.57,51.85,0.00,-0.28,43.99,44.10,0.00,-0.11,,
2-1_-17,22,"1,693.60","1,717.59",42.96,43.13,0.00,-0.17,38.43,38.46,0.00,-0.03,,
2-1_-17,23,"1,537.60","1,541.50",41.32,41.44,0.00,-0.12,33.86,33.82,0.00,0.04,,
2-1_-17,24,"1,386.40","1,386.06",33.87,33.71,0.00,0.16,29.63,29.51,0.00,0.12,,
3-1_-17,01,"1,304.90","1,296.20",35.55,35.44,0.00,0.11,31.26,31.11,0.00,0.15,,
3-1_-17,02,"1,252.10","1,257.00",33.81,33.72,0.00,0.09,15.93,15.87,0.00,0.06,,
3-1_-17,03,"1,225.70","1,234.23",33.55,33.48,0.00,0.07,22.46,22.39,0.00,0.07,,
3-1_-17,04,"1,222.00","1,226.14",33.52,33.45,0.00,0.07,33.25,32.91,0.24,0.10,,
3-1_-17,05,"1,258.90","1,262.65",33.91,33.81,0.00,0.10,34.59,34.23,0.25,0.11,,
3-1_-17,06,"1,378.70","1,391.07",36.63,36.52,0.00,0.11,30.35,30.04,0.23,0.08,,
3-1_-17,07,"1,607.30","1,601.08",39.95,40.03,0.00,-0.08,38.07,38.01,0.07,-0.01,,
3-1_-17,08,"1,717.50","1,731.76",44.42,44.78,0.00,-0.36,67.40,67.44,0.01,-0.05,,
3-1_-17,09,"1,728.80","1,751.27",43.45,43.68,0.00,-0.23,44.36,44.11,0.12,0.13,,
3-1_-17,10,"1,758.80","1,775.59",57.90,58.26,0.00,-0.36,43.48,43.13,0.16,0.19,,
3-1_-17,11,"1,783.10","1,797.38",45.02,45.27,0.00,-0.25,41.96,41.78,0.02,0.16,,
3-1_-17,12,"1,769.80","1,819.97",44.70,44.94,0.00,-0.24,43.80,43.65,0.00,0.15,,
3-1_-17,13,"1,751.20","1,829.87",43.18,43.35,0.00,-0.17,42.83,42.72,0.00,0.11,,
3-1_-17,14,"1,726.00","1,846.89",42.36,42.52,0.00,-0.16,42.37,42.28,0.00,0.09,,
3-1_-17,15,"1,725.30","1,845.97",40.81,40.97,0.00,-0.16,42.13,42.19,0.00,-0.06,,
3-1_-17,16,"1,768.80","1,875.02",42.29,42.47,0.00,-0.18,43.40,43.49,0.00,-0.09,,
3-1_-17,17,"1,899.70","1,991.29",46.46,46.65,0.00,-0.19,53.09,53.15,0.00,-0.06,,
3-1_-17,18,"2,018.90","2,070.75",73.16,73.38,0.00,-0.22,48.10,48.09,0.00,0.01,,
3-1_-17,19,"1,982.10","2,058.18",49.53,49.68,0.00,-0.15,55.34,55.31,0.00,0.03,,
3-1_-17,20,"1,930.20","1,994.96",43.23,43.39,0.00,-0.16,44.54,44.55,0.00,-0.01,,
3-1_-17,21,"1,844.60","1,892.15",39.62,39.62,0.00,0.00,39.49,39.48,0.00,0.01,,
3-1_-17,22,"1,709.10","1,733.19",34.99,34.86,0.00,0.13,36.86,36.73,0.00,0.13,,
3-1_-17,23,"1,541.50","1,541.60",32.86,32.73,0.00,0.13,32.58,32.40,0.00,0.18,,
3-1_-17,24,"1,363.30","1,399.68",31.90,31.85,0.00,0.05,32.35,32.26,0.00,0.09,,
4-1_-17,01,"1,197.40","1,277.22",29.34,29.40,0.00,-0.06,28.60,28.59,0.00,0.01,,
4-1_-17,02,"1,159.90","1,221.33",19.36,19.41,0.00,-0.05,32.12,32.20,0.00,-0.08,,
4-1_-17,03,"1,139.20","1,188.38",14.03,14.07,0.00,-0.04,28.02,28.08,0.00,-0.06,,
4-1_-17,04,"1,133.80","1,191.09",14.03,14.07,0.00,-0.04,29.09,29.13,0.00,-0.04,,
4-1_-17,05,"1,168.70","1,234.68",29.37,29.44,0.00,-0.07,29.76,29.81,0.00,-0.05,,
4-1_-17,06,"1,339.90","1,360.08",31.92,31.91,0.00,0.01,29.99,30.03,0.00,-0.04,,
4-1_-17,07,"1,560.80","1,571.34",37.32,37.32,0.00,0.00,31.28,31.27,0.00,0.01,,
4-1_-17,08,"1,697.10","1,691.14",41.34,41.46,0.00,-0.12,42.95,42.97,0.00,-0.02,,
4-1_-17,09,"1,699.20","1,707.93",38.26,38.29,0.00,-0.03,42.26,42.22,0.00,0.04,,
4-1_-17,10,"1,674.20","1,708.77",38.71,38.80,0.00,-0.09,39.07,39.00,0.00,0.07,,
4-1_-17,11,"1,663.60","1,686.36",40.60,40.74,0.00,-0.14,39.34,39.29,0.00,0.05,,
4-1_-17,12,"1,624.10","1,686.12",37.08,37.18,0.00,-0.10,37.40,37.43,0.00,-0.03,,
